upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0.4,DS Juv = 0.9,MAT,68501170.5307741,49332098.5,88420506.325,540
0,0.4,DS Juv = 0.9,NNE,814325290.36448,603801541.475,1035660078.55,863
0,0.4,DS Juv = 0.9,SNE,6922226.45541502,4756837.1,9123603.325,130
0,0.4,DS Juv = 1,MAT,68254453.8711902,47373345.975,91207678.825,557
0,0.4,DS Juv = 1,NNE,806144083.63174,518208240.8,1059347827.575,845
0,0.4,DS Juv = 1,SNE,6933333.33526522,4941124.7,9140562.5,146
0,0.5,DS Juv = 0,MAT,67287093.178336,45366592.225,86124663.525,526
0,0.5,DS Juv = 0,NNE,820562158.190639,570210444.525,1099130261.05,809
0,0.5,DS Juv = 0,SNE,6853347.75069444,4702738.725,8521416.425,144
0,0.5,DS Juv = 0.1,MAT,68676591.9496985,49381374.75,88853143.825,519
0,0.5,DS Juv = 0.1,NNE,815249216.382299,584527506.6,1032937959.075,855
0,0.5,DS Juv = 0.1,SNE,6880303.96666667,4885414.925,9075976.7,124
0,0.5,DS Juv = 0.2,MAT,67840449.7573079,47921773.85,88052832.775,566
0,0.5,DS Juv = 0.2,NNE,810497760.349741,578356153.8,1042860398.825,821
0,0.5,DS Juv = 0.2,SNE,6816335.25179426,4690763.375,8706366.8,130
0,0.5,DS Juv = 0.3,MAT,67985405.4106051,48520650.8,88885707.325,535
0,0.5,DS Juv = 0.3,NNE,804580250.279703,557306313.5,1031654517.05,881
0,0.5,DS Juv = 0.3,SNE,6968846.4129529,4742447.1,9499353.5,162
0,0.5,DS Juv = 0.4,MAT,66700900.8557173,48635763,86172894.4,521
0,0.5,DS Juv = 0.4,NNE,823921899.801943,581229941.125,1056009388,868
0,0.5,DS Juv = 0.4,SNE,7239236.58433894,4661882.55,9491448.6,128
0,0.5,DS Juv = 0.5,MAT,69859014.2139373,51507368.525,91141107.525,495
0,0.5,DS Juv = 0.5,NNE,817379624.991684,592773634.9,1045678703.95,875
0,0.5,DS Juv = 0.5,SNE,6833095.6776589,4894662.025,8894818.5,160
0,0.5,DS Juv = 0.6,MAT,68142580.0575591,48662403.2,88872073.9,528
