upstream,downstream,downstream_j,pop,lwr,upr,samp
0.1,0.2,DS Juv = 0,878648253.5,652361345.2,1129052230.275,1571
0.1,0.2,DS Juv = 0.1,873870428.5,640401108.575,1167793259.3,1573
0.1,0.2,DS Juv = 0.2,880497281,643008440.625,1104286902.175,1552
0.1,0.2,DS Juv = 0.3,882993696.5,653600109.925,1127219567.55,1587
0.1,0.2,DS Juv = 0.4,898802759.5,621787656.8,1142802636,1478
0.1,0.2,DS Juv = 0.5,882819001.5,648569247.8,1169857202.225,1457
0.1,0.2,DS Juv = 0.6,892613947.5,678161879.3,1137067191.9,1546
0.1,0.2,DS Juv = 0.7,909190402,627313656.5,1154247596.375,1489
0.1,0.2,DS Juv = 0.8,870434884.5,622833988.375,1188103367.5,1484
0.1,0.2,DS Juv = 0.9,881935469,650052216.775,1158887313.125,1442
0.1,0.2,DS Juv = 1,899859416,652315204.675,1146062107.475,1556
0.1,0.3,DS Juv = 0,902910557.5,602729663.225,1130767084.45,1480
0.1,0.3,DS Juv = 0.1,862708351.5,615498833.9,1145725187.875,1550
0.1,0.3,DS Juv = 0.2,872682816.5,642393747.075,1138552326.075,1524
0.1,0.3,DS Juv = 0.3,896991476.5,669464903.625,1129657462.925,1537
0.1,0.3,DS Juv = 0.4,878149743,654550838.25,1106763716.375,1415
0.1,0.3,DS Juv = 0.5,867864999,619979875.275,1148705636.4,1498
0.1,0.3,DS Juv = 0.6,857590328.5,607196023.575,1148341294.25,1468
0.1,0.3,DS Juv = 0.7,879824820.5,606006348.4,1190880741.525,1478
0.1,0.3,DS Juv = 0.8,907772263.5,630595291.7,1146571838.875,1421
0.1,0.3,DS Juv = 0.9,893229698,679180580.575,1144399314.05,1464
0.1,0.3,DS Juv = 1,892701739.5,649395082.675,1171356615.075,1487
0.1,0.4,DS Juv = 0,890772267,608933768.975,1149941656.125,1597
0.1,0.4,DS Juv = 0.1,902722159,630282657.15,1175836749.975,1525
0.1,0.4,DS Juv = 0.2,879708806,626828542.55,1130360499.45,1541
0.1,0.4,DS Juv = 0.3,882868245,637244112.725,1116510286.9,1525
0.1,0.4,DS Juv = 0.4,889141675,654887312.9,1154912499.425,1494
0.1,0.4,DS Juv = 0.5,901109307,655551762.575,1138556356.675,1478
0.1,0.4,DS Juv = 0.6,888483760,610424033.075,1170549420.5,1549
0.1,0.4,DS Juv = 0.7,915265392,657842954.1,1192200283.125,1539
0.1,0.4,DS Juv = 0.8,903117321,653293206.35,1181253719.325,1470
0.1,0.4,DS Juv = 0.9,878413211.5,601409388.575,1137071387.325,1452
0.1,0.4,DS Juv = 1,873627033,631192866.95,1165350674.975,1466
0.1,0.5,DS Juv = 0,890499241,615948511.1,1146264294.425,1449
0.1,0.5,DS Juv = 0.1,864268430,613621750.45,1120610965.525,1498
0.1,0.5,DS Juv = 0.2,884533352.5,649463888.6,1163091234.25,1503
0.1,0.5,DS Juv = 0.3,895687536.5,613117444.1,1131777621.375,1507
0.1,0.5,DS Juv = 0.4,905582909,646614187.825,1162919325.6,1518
0.1,0.5,DS Juv = 0.5,879963025,616202266.45,1132805668.65,1578
0.1,0.5,DS Juv = 0.6,885038468,658963385.6,1134761890.275,1446
0.1,0.5,DS Juv = 0.7,901073141.5,651717914.85,1143899915.125,1562
0.1,0.5,DS Juv = 0.8,908712071,688920958.5,1188116029.075,1525
0.1,0.5,DS Juv = 0.9,909332608.5,624272608.15,1152236619.925,1499
0.1,0.5,DS Juv = 1,895709716,612851006.375,1165953527.625,1455
0.1,0.6,DS Juv = 0,889880385.5,689352314.3,1160015950.725,1452
0.1,0.6,DS Juv = 0.1,876852693,612833891.05,1157355021.875,1557
0.1,0.6,DS Juv = 0.2,888931988,676086850.125,1138898054.575,1499
0.1,0.6,DS Juv = 0.3,894957143.5,648072928.825,1193335092.575,1589
0.1,0.6,DS Juv = 0.4,890896502,662267108.925,1159836688.525,1502
0.1,0.6,DS Juv = 0.5,892831042.5,657203497.65,1114431250.85,1527
0.1,0.6,DS Juv = 0.6,872764607,640410759.075,1147021870.5,1523
0.1,0.6,DS Juv = 0.7,899750455,647236236.4,1184950068.95,1479
0.1,0.6,DS Juv = 0.8,900589319,647453824.05,1182163145.725,1451
0.1,0.6,DS Juv = 0.9,899131350,640149841.375,1127697367.95,1463
0.1,0.6,DS Juv = 1,889370532,638237663.9,1161909665.05,1525
